CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,617,14,228,8.32,328.00,-12.75,65,326.05,334.55,65,"26,050.00",65,457.85,506.15,65,0.85,508.50,13.30,7,-1,110,
,"1,551",71,"1,550",8.31,303.45,-15.10,195,303.55,308.00,65,"26,100.00",65,498.95,521.30,65,-5.05,524.15,13.05,399,-119,657,
,132,-,74,8.42,284.85,-11.00,65,281.15,290.10,65,"26,150.00",65,526.30,559.95,65,-48.75,541.25,12.82,108,28,293,
,"4,218",663,"3,935",8.48,265.50,-14.75,65,262.95,265.95,65,"26,200.00",65,568.05,580.25,65,-7.10,575.15,13.00,477,18,"1,345",
,264,36,209,8.57,248.30,-11.30,65,243.60,251.00,65,"26,250.00",65,569.55,619.60,65,-23.00,625.50,13.60,34,-1,89,
,"7,678",-84,"5,463",8.56,228.50,-9.60,65,226.80,229.00,130,"26,300.00",65,615.45,636.00,65,-7.55,636.65,13.15,245,-35,893,
,149,8,150,8.62,212.55,-8.80,65,208.80,215.15,65,"26,350.00",130,647.50,841.35,65,-14.60,662.40,13.06,4,-,86,
,"2,855",-186,"3,041",8.63,195.65,-14.70,65,194.85,196.50,65,"26,400.00",65,693.45,708.35,65,-2.05,702.55,13.34,205,-68,452,
,206,-3,144,8.68,181.00,-11.50,65,178.60,184.45,65,"26,450.00",65,691.65,769.30,65,-9.75,747.80,13.73,7,-,91,
,"18,390","1,258","14,041",8.71,166.90,-13.40,65,166.40,168.00,"1,235","26,500.00","1,170",766.65,774.20,65,-9.85,766.65,13.40,"1,386",-208,"7,028",
,332,19,128,8.77,154.55,-16.95,65,151.35,156.40,65,"26,550.00",65,781.85,820.65,130,6.25,812.65,13.79,15,13,35,
,"2,029",156,"3,061",8.70,138.60,-12.75,260,138.60,142.05,65,"26,600.00",65,831.00,854.00,65,-14.15,845.20,13.80,112,-27,531,
,131,8,159,8.80,129.50,-9.30,65,127.70,132.00,65,"26,650.00",65,783.30,905.00,65,25.00,900.35,14.42,5,3,32,
,"1,864",-425,"3,598",8.84,118.90,-10.15,65,117.20,119.65,65,"26,700.00",65,896.40,930.50,65,-22.20,917.80,13.97,155,-129,506,
,277,48,284,8.86,108.55,-14.20,65,107.60,111.55,65,"26,750.00",325,768.95,"1,234.60",325,13.20,978.55,14.73,2,-,21,
,"5,003",790,"4,657",8.92,100.20,-8.35,65,98.35,101.65,65,"26,800.00",65,924.10,"1,257.45",65,83.60,"1,083.05",16.73,22,-,155,
,237,-128,782,8.98,92.30,-7.40,65,90.65,97.00,65,"26,850.00",65,"1,004.15","1,122.20",65,19.45,"1,059.45",15.08,2,1,18,
,"1,605",24,"2,290",9.23,89.90,-2.25,65,82.70,85.60,195,"26,900.00",65,999.30,"1,165.50",65,10.25,"1,105.80",15.40,4,-,38,
,142,-10,354,9.06,77.35,-6.70,65,76.25,79.30,65,"26,950.00",65,"1,054.75","1,155.90",65,8.70,"1,133.10",15.15,3,2,16,
,"42,099",358,"26,820",9.15,71.90,-7.75,325,71.30,72.00,65,"27,000.00",65,"1,160.15","1,175.15",65,1.65,"1,172.00",15.24,"1,003",73,"20,215",
,208,-84,380,9.19,65.70,-7.85,65,64.25,66.60,65,"27,050.00","1,690","1,037.30","1,480.85",650,14.45,"1,221.80",15.64,3,2,20,
,"1,639",414,"2,088",9.20,59.50,-6.60,65,58.75,61.70,65,"27,100.00",65,"1,215.35","1,278.65",65,85.15,"1,325.15",17.68,9,4,39,
,165,-4,94,9.28,55.10,-6.70,65,54.40,56.35,65,"27,150.00",585,"1,141.05","1,579.65",715,20.95,"1,314.90",16.24,2,1,12,
,"5,825",187,"4,524",9.45,52.75,-4.85,65,51.00,52.90,195,"27,200.00",65,"1,270.50","1,395.05",65,2.30,"1,366.05",16.67,2,-2,42,
,161,52,121,9.45,47.50,-3.90,650,47.50,50.00,65,"27,250.00","1,690","1,286.90","1,668.85","1,235",0.65,"1,388.10",16.16,2,-1,7,
,"4,326",118,"2,927",9.56,44.45,-4.05,130,43.50,46.00,715,"27,300.00",65,"1,361.55","1,523.45",65,-3.50,"1,432.50",16.36,2,-1,32,
,101,-27,260,9.66,41.70,-2.55,910,25.20,43.65,65,"27,350.00","1,690","1,358.40","1,773.20","1,235",-1.35,"1,475.00",16.48,2,-,6,
,"1,130",-244,889,9.74,38.65,-2.90,65,35.00,38.65,65,"27,400.00",65,"1,443.35","1,619.80",65,4.85,"1,549.30",17.68,2,-,36,
,119,8,29,9.85,36.35,-1.30,910,26.70,40.00,130,"27,450.00","1,690","1,414.50","1,878.95","1,690",2.70,"1,572.95",17.16,2,-1,5,
,"9,038",17,"5,615",9.86,32.70,-3.40,195,32.70,34.15,585,"27,500.00",65,"1,614.85","1,630.85",65,9.70,"1,625.00",17.60,74,-9,894,
,197,28,108,9.91,30.00,-3.90,650,24.30,-,-,"27,550.00",715,"1,519.35","1,986.60","1,690",11.40,"1,668.25",17.73,2,-,6,
,915,49,348,10.08,29.00,-2.70,325,25.05,32.45,65,"27,600.00","1,040","1,701.60","2,035.30",65,-0.65,"1,701.60",17.49,4,-,34,
,70,3,34,9.83,23.20,-5.80,650,20.10,-,-,"27,650.00","1,300","1,715.00","2,092.60","1,690",2.50,"1,756.55",18.03,2,-,6,
,"1,325",54,191,10.27,25.50,-0.75,130,21.60,25.45,845,"27,700.00",130,"1,763.30","1,911.15",65,-2.05,"1,806.95",18.40,2,-,9,
,153,-,43,10.26,22.80,-2.55,65,18.55,28.90,650,"27,750.00",715,"1,701.85","2,197.75","1,690",1.75,"1,854.70",18.67,2,-,5,
,353,92,191,10.24,20.15,-4.10,65,21.15,23.60,"1,430","27,800.00","1,690","1,815.90","2,243.45",65,23.25,"1,901.70",18.91,2,-,7,
,73,-1,17,9.91,15.15,-7.00,65,16.15,25.00,130,"27,850.00","1,690","1,854.45","2,309.90","1,690",4.80,"1,953.00",-,-,-,5,
,252,-,80,10.44,17.85,-1.10,195,17.25,21.55,65,"27,900.00",130,"1,952.60","2,341.85","1,690",4.50,"2,000.05",19.54,2,-,8,
,97,1,21,10.68,18.00,-4.40,65,14.55,24.45,650,"27,950.00","1,690","1,797.25","2,420.35","1,690",5.85,"2,301.20",-,-,-,5,
,"22,186",179,"6,628",10.94,18.40,0.05,195,16.75,18.30,65,"28,000.00",65,"2,086.20","2,103.65",65,-5.70,"2,085.00",19.64,181,10,"10,152",
,102,35,85,10.86,15.85,-4.50,65,14.50,20.35,130,"28,050.00",520,"1,967.40","2,542.70","1,690",7.15,"3,026.55",-,-,-,4,
,529,53,354,11.18,16.70,-1.05,130,14.30,18.00,130,"28,100.00","1,690","2,067.70","2,564.10","1,690",78.95,"2,265.00",23.34,2,2,7,
,"11,369",-242,"1,471",13.33,8.30,-0.25,65,8.00,8.45,130,"29,000.00",65,"3,061.35","3,079.15",65,1.60,"3,061.10",25.02,134,-100,"6,801",
,"10,292",-31,"1,578",15.78,5.00,-0.40,"4,355",5.00,5.50,130,"30,000.00",65,"4,036.45","4,055.55",65,-3.70,"4,022.40",28.94,43,-9,"8,358",
,"3,358",-28,297,17.98,3.20,-0.25,"5,980",3.05,3.15,260,"31,000.00",65,"5,018.50","5,038.60",65,-26.80,"5,003.15",33.34,10,1,"3,360",
